,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.set_number,Answer.slider_values,Approve,Reject
0,3I7KR83SNAJUTI94AJW9393L7E99KN,3HSQTUGQM1N9HOL4EKGAQX4JN2A9G5,Snako Golden Image Study Fixed Feb17,fixed golden image study for Team Snako's senior design project feb17,"snako, LIVE, golden image study fixed",$0.00,Mon Feb 17 12:55:57 PST 2020,100,BatchId:268388;OriginalHitTemplateId:921587259;,7200,259200,Mon Mar 02 12:55:57 PST 2020,,,3G0WWMR1UWQ4G78NE04C6G6UFASQND,A2QE09IRNEPRCR,Approved,Sat Feb 22 06:21:18 PST 2020,Sat Feb 22 07:02:01 PST 2020,Tue Feb 25 07:02:01 PST 2020,Sat Feb 22 12:30:25 PST 2020,,,2443,100% (2/2),100% (2/2),100% (2/2),252,"15,20,20,13,13,26,19,16,18,19,22,20,15,24,13,15,17,21,16,16,20,22,15,22,19,24,16,25,21,28,18,23,25,21,24,29,27,26,26,24,23,25,20,20,21,20,22,24,14,14,20,25,26,20,24,16,16,22,20,25,31,24,22,22,22,",,
1,3I7KR83SNAJUTI94AJW9393L7E99KN,3HSQTUGQM1N9HOL4EKGAQX4JN2A9G5,Snako Golden Image Study Fixed Feb17,fixed golden image study for Team Snako's senior design project feb17,"snako, LIVE, golden image study fixed",$0.00,Mon Feb 17 12:55:57 PST 2020,100,BatchId:268388;OriginalHitTemplateId:921587259;,7200,259200,Mon Mar 02 12:55:57 PST 2020,,,3TEM0PF1Q63762CB88WUV53IO2R0D6,A12RCF0U5XWP1U,Approved,Fri Feb 21 21:45:30 PST 2020,Fri Feb 21 21:52:29 PST 2020,Mon Feb 24 21:52:29 PST 2020,Sat Feb 22 12:30:25 PST 2020,,,419,100% (10/10),100% (10/10),100% (4/4),251,"32,31,38,33,32,32,42,33,38,24,45,40,33,41,37,22,30,36,30,41,32,31,39,32,36,30,40,34,40,29,36,22,33,29,40,25,33,43,27,38,34,36,45,43,27,43,42,40,44,32,43,36,31,29,36,23,42,37,37,33,40,41,35,38,42,",,
0,3ZXNP4Z39RR1Z53TGMAQ4DPU1OQ7LC,3HSQTUGQM1N9HOL4EKGAQX4JN2A9G5,Snako Golden Image Study Fixed Feb17,fixed golden image study for Team Snako's senior design project feb17,"snako, LIVE, golden image study fixed",$0.00,Mon Feb 17 12:57:12 PST 2020,100,BatchId:268389;OriginalHitTemplateId:921587259;,7200,259200,Mon Mar 02 12:57:12 PST 2020,,,31Q0U3WYDQLRWIWJDEX89ICW7JK177,A3T4ITPGFCZ6BO,Approved,Tue Feb 18 19:18:08 PST 2020,Tue Feb 18 19:27:13 PST 2020,Fri Feb 21 19:27:13 PST 2020,Fri Feb 21 19:28:07 PST 2020,,,545,100% (16/16),100% (16/16),100% (9/9),200,"32,29,35,36,31,35,33,34,32,37,42,34,33,39,48,21,44,43,35,31,25,31,34,43,39,24,29,17,35,32,37,19,30,34,38,49,26,38,38,27,34,32,35,35,8,36,36,23,31,26,36,25,35,31,35,38,33,39,34,22,40,37,34,48,42,",,
1,3ZXNP4Z39RR1Z53TGMAQ4DPU1OQ7LC,3HSQTUGQM1N9HOL4EKGAQX4JN2A9G5,Snako Golden Image Study Fixed Feb17,fixed golden image study for Team Snako's senior design project feb17,"snako, LIVE, golden image study fixed",$0.00,Mon Feb 17 12:57:12 PST 2020,100,BatchId:268389;OriginalHitTemplateId:921587259;,7200,259200,Mon Mar 02 12:57:12 PST 2020,,,3Q8GYXHFEQ8WWHSY5I7VSUHRKAS5CY,A12RCF0U5XWP1U,Approved,Sat Feb 22 09:45:21 PST 2020,Sat Feb 22 10:07:29 PST 2020,Tue Feb 25 10:07:29 PST 2020,Sat Feb 22 12:30:12 PST 2020,,,1328,100% (9/9),100% (9/9),100% (3/3),253,"12,23,34,36,37,17,33,37,14,13,23,27,23,32,13,4,10,12,6,16,16,15,28,26,24,14,9,10,17,10,12,14,19,15,6,11,13,27,9,12,10,10,11,11,5,17,11,6,7,6,9,4,11,6,15,6,11,11,5,10,41,15,16,16,15,",,
0,3D17ECOUOE168FY2L0PH7H40YGZ31X,3HSQTUGQM1N9HOL4EKGAQX4JN2A9G5,Snako Golden Image Study Fixed Feb17,fixed golden image study for Team Snako's senior design project feb17,"snako, LIVE, golden image study fixed",$0.00,Mon Feb 17 12:57:29 PST 2020,100,BatchId:268390;OriginalHitTemplateId:921587259;,7200,259200,Mon Mar 02 12:57:29 PST 2020,,,32VNZTT0A8AI60DH9AEGCXAZKFN4RL,A3T4ITPGFCZ6BO,Approved,Tue Feb 18 13:32:08 PST 2020,Tue Feb 18 13:44:33 PST 2020,Fri Feb 21 13:44:33 PST 2020,Fri Feb 21 13:45:07 PST 2020,,,745,100% (16/16),100% (16/16),100% (9/9),198,"20,16,20,18,22,21,26,24,21,23,21,23,21,25,24,22,26,23,25,22,18,11,23,23,17,22,20,13,17,17,22,20,23,17,18,18,22,19,17,19,19,17,26,18,21,21,22,17,18,21,14,17,19,20,20,16,22,16,22,19,29,22,25,22,26,",,
1,3D17ECOUOE168FY2L0PH7H40YGZ31X,3HSQTUGQM1N9HOL4EKGAQX4JN2A9G5,Snako Golden Image Study Fixed Feb17,fixed golden image study for Team Snako's senior design project feb17,"snako, LIVE, golden image study fixed",$0.00,Mon Feb 17 12:57:29 PST 2020,100,BatchId:268390;OriginalHitTemplateId:921587259;,7200,259200,Mon Mar 02 12:57:29 PST 2020,,,3HL8HNGX467M0GEKZAADCG7W3JUF91,A2GAM45887RMML,Approved,Wed Feb 19 15:35:12 PST 2020,Wed Feb 19 15:55:46 PST 2020,Sat Feb 22 15:55:46 PST 2020,Sat Feb 22 12:29:54 PST 2020,,,1234,100% (7/7),100% (6/6),100% (1/1),236,"8,25,23,27,30,23,13,9,13,13,14,15,14,17,19,16,14,15,32,11,14,8,12,14,11,9,10,8,10,6,5,10,12,7,25,14,21,12,18,9,18,21,24,15,11,17,10,8,10,8,8,21,7,13,18,9,7,28,25,14,30,19,21,12,9,",,
0,3J94SKDEKIV3EP1IFCX5NG3T19T5DF,3HSQTUGQM1N9HOL4EKGAQX4JN2A9G5,Snako Golden Image Study Fixed Feb17,fixed golden image study for Team Snako's senior design project feb17,"snako, LIVE, golden image study fixed",$0.00,Mon Feb 17 12:57:47 PST 2020,100,BatchId:268391;OriginalHitTemplateId:921587259;,7200,259200,Mon Mar 02 12:57:47 PST 2020,,,39N5ACM9HFTYRT3EDD6IOAL05PCP99,A3T4ITPGFCZ6BO,Approved,Tue Feb 18 10:42:04 PST 2020,Tue Feb 18 10:59:32 PST 2020,Fri Feb 21 10:59:32 PST 2020,Fri Feb 21 11:00:07 PST 2020,,,1048,100% (16/16),100% (16/16),100% (9/9),197,"28,37,38,35,36,36,39,36,34,37,30,30,39,39,32,20,24,18,35,40,43,36,36,37,44,33,33,39,38,27,33,37,35,39,40,29,38,35,35,36,36,38,38,41,35,35,44,29,26,40,44,27,36,32,31,23,39,40,40,39,41,39,40,45,33,",,
1,3J94SKDEKIV3EP1IFCX5NG3T19T5DF,3HSQTUGQM1N9HOL4EKGAQX4JN2A9G5,Snako Golden Image Study Fixed Feb17,fixed golden image study for Team Snako's senior design project feb17,"snako, LIVE, golden image study fixed",$0.00,Mon Feb 17 12:57:47 PST 2020,100,BatchId:268391;OriginalHitTemplateId:921587259;,7200,259200,Mon Mar 02 12:57:47 PST 2020,,,3EWIJTFFVPDCY8QB437E1NL3OEU0E1,A25BL39PHUACM7,Approved,Sat Feb 22 12:07:12 PST 2020,Sat Feb 22 12:19:24 PST 2020,Tue Feb 25 12:19:24 PST 2020,Sat Feb 22 12:29:17 PST 2020,,,732,100% (13/13),100% (12/12),100% (3/3),255,"19,22,24,32,25,36,32,37,19,25,25,23,31,32,26,16,11,21,20,23,22,18,22,20,19,22,19,15,27,27,17,21,28,20,20,21,14,25,28,23,24,24,22,19,22,24,29,20,19,23,18,20,23,22,25,23,20,20,22,27,27,21,24,22,25,",,
0,3LXX8KJXPWFDJ9UJ8BO2AQKURJJ9O7,3HSQTUGQM1N9HOL4EKGAQX4JN2A9G5,Snako Golden Image Study Fixed Feb17,fixed golden image study for Team Snako's senior design project feb17,"snako, LIVE, golden image study fixed",$0.00,Mon Feb 17 12:58:09 PST 2020,100,BatchId:268392;OriginalHitTemplateId:921587259;,7200,259200,Mon Mar 02 12:58:09 PST 2020,,,3E7TUJ2EGDSP2W0O84FNOG4BR6A9DG,A3T4ITPGFCZ6BO,Approved,Tue Feb 18 13:47:02 PST 2020,Tue Feb 18 14:07:14 PST 2020,Fri Feb 21 14:07:14 PST 2020,Fri Feb 21 14:08:07 PST 2020,,,1212,100% (16/16),100% (16/16),100% (9/9),198,"22,27,26,32,30,26,27,26,33,14,21,21,29,40,17,15,23,14,27,24,22,19,18,23,23,13,24,20,33,24,28,23,20,19,25,13,15,18,18,28,42,38,35,30,14,39,37,17,26,24,22,31,27,24,30,21,26,24,24,23,37,28,24,16,20,",,
0,3MJ28H2Y1EEUIMS75LBLYAFS5N05OC,3HSQTUGQM1N9HOL4EKGAQX4JN2A9G5,Snako Golden Image Study Fixed Feb17,fixed golden image study for Team Snako's senior design project feb17,"snako, LIVE, golden image study fixed",$0.00,Mon Feb 17 13:02:08 PST 2020,100,BatchId:268393;OriginalHitTemplateId:921587259;,7200,259200,Mon Mar 02 13:02:08 PST 2020,,,3HRMW88U17WAAWIOL1VXEVQCXG90ME,A3T4ITPGFCZ6BO,Approved,Tue Feb 18 18:51:29 PST 2020,Tue Feb 18 19:05:02 PST 2020,Fri Feb 21 19:05:02 PST 2020,Fri Feb 21 19:05:07 PST 2020,,,813,100% (16/16),100% (16/16),100% (9/9),200,"18,18,20,25,28,19,24,22,17,14,17,18,13,45,26,15,16,21,27,35,36,31,30,22,22,20,30,19,26,33,24,24,21,17,23,26,20,33,21,19,20,19,22,21,12,17,22,19,19,21,18,16,17,15,14,13,13,14,15,16,41,23,31,24,25,",,
