,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.set_number,Answer.slider_values,Approve,Reject
0,3TZ0XG8CBUQAYH731UZ6D4UUC8N89Z,3PSRKXHSTQMCNWTOK2P50RUNY7UJH4,Snako Golden Image Study,golden image study for Team Snako's senior design project,"snako, LIVE, golden image study",$0.00,Sun Feb 02 21:34:05 PST 2020,1000,BatchId:266713;OriginalHitTemplateId:921587259;,3600,259200,Sun Feb 16 21:34:05 PST 2020,,,3570Y55XZQP7FHINI68BTI0ZD5IGYP,A3T4ITPGFCZ6BO,Approved,Tue Feb 04 14:03:44 PST 2020,Tue Feb 04 14:19:50 PST 2020,Fri Feb 07 14:19:50 PST 2020,Fri Feb 07 14:20:07 PST 2020,,,966,100% (5/5),100% (5/5),100% (5/5),1234321,"28,26,33,28,16,23,25,30,20,34,40,28,22,25,30,21,28,23,22,28,20,31,30,32,32,22,30,28,30,30,30,24,25,37,25,25,31,28,30,27,24,32,31,23,27,20,20,30,27,29,32,27,18,22,27,38,26,39,23,24,27,34,20,22,27,",,
1,3TZ0XG8CBUQAYH731UZ6D4UUC8N89Z,3PSRKXHSTQMCNWTOK2P50RUNY7UJH4,Snako Golden Image Study,golden image study for Team Snako's senior design project,"snako, LIVE, golden image study",$0.00,Sun Feb 02 21:34:05 PST 2020,1000,BatchId:266713;OriginalHitTemplateId:921587259;,3600,259200,Sun Feb 16 21:34:05 PST 2020,,,3WMINLGALC9T2N4F0EYC05XDCLECAQ,A2GAM45887RMML,Approved,Mon Feb 03 14:49:52 PST 2020,Mon Feb 03 14:58:57 PST 2020,Thu Feb 06 14:58:57 PST 2020,Thu Feb 06 14:59:07 PST 2020,,,545,100% (4/4),100% (3/3),100% (3/3),1234321,"42,21,43,23,22,25,16,22,22,18,21,26,22,16,10,12,17,20,19,31,18,21,16,20,21,16,18,22,23,25,21,22,23,27,15,24,23,23,19,22,22,25,22,18,25,15,21,22,35,26,24,31,23,20,30,21,34,32,26,25,17,21,22,24,27,",,
0,38F60IALAGNB07BE4WR8BPPONHE0T4,3PSRKXHSTQMCNWTOK2P50RUNY7UJH4,Snako Golden Image Study,golden image study for Team Snako's senior design project,"snako, LIVE, golden image study",$0.00,Sun Feb 02 21:34:27 PST 2020,1000,BatchId:266714;OriginalHitTemplateId:921587259;,3600,259200,Sun Feb 16 21:34:27 PST 2020,,,39GXDJN2OUKBI8H0UX93U6F77538VS,A3T4ITPGFCZ6BO,Approved,Tue Feb 04 12:55:22 PST 2020,Tue Feb 04 13:23:57 PST 2020,Fri Feb 07 13:23:57 PST 2020,Fri Feb 07 13:24:07 PST 2020,,,1715,100% (5/5),100% (5/5),100% (5/5),1234321,"26,28,28,28,28,28,26,28,26,32,27,27,27,26,28,28,27,28,27,26,28,27,29,26,24,25,25,24,24,26,30,26,28,26,28,28,26,26,27,28,25,27,25,26,25,23,25,25,25,29,29,25,25,22,28,31,27,30,27,32,25,29,25,26,28,",,
0,33QQ60S6ASOQ0KQ341HIGLBQ6VL0UV,3PSRKXHSTQMCNWTOK2P50RUNY7UJH4,Snako Golden Image Study,golden image study for Team Snako's senior design project,"snako, LIVE, golden image study",$0.00,Sun Feb 02 21:34:40 PST 2020,1000,BatchId:266715;OriginalHitTemplateId:921587259;,3600,259200,Sun Feb 16 21:34:40 PST 2020,,,3COPXFW7XCII8PM5HAX7EJZGGHFPKQ,A3T4ITPGFCZ6BO,Submitted,Thu Feb 06 15:26:53 PST 2020,Thu Feb 06 15:43:24 PST 2020,Sun Feb 09 15:43:24 PST 2020,,,,991,100% (5/5),100% (5/5),100% (5/5),1234321,"23,27,15,18,20,27,27,26,20,24,28,26,15,30,22,27,18,15,17,16,25,26,23,22,25,26,26,18,24,17,27,25,18,22,25,21,21,26,24,16,26,27,32,30,20,28,27,29,34,27,29,30,23,28,23,26,24,27,21,31,35,28,23,26,23,",,
0,3EAWOID6MT3QDZF39RRNC7D9K2U0VK,3PSRKXHSTQMCNWTOK2P50RUNY7UJH4,Snako Golden Image Study,golden image study for Team Snako's senior design project,"snako, LIVE, golden image study",$0.00,Sun Feb 02 21:35:17 PST 2020,1000,BatchId:266717;OriginalHitTemplateId:921587259;,3600,259200,Sun Feb 16 21:35:17 PST 2020,,,3PMBY0YE289FX4UA88KC4AMT64F9CT,A2Z59FZ240KWRP,Submitted,Wed Feb 05 14:59:40 PST 2020,Wed Feb 05 15:16:15 PST 2020,Sat Feb 08 15:16:15 PST 2020,,,,995,100% (2/2),100% (2/2),100% (2/2),1234321,"28,33,26,17,30,23,23,13,24,27,31,23,23,30,20,22,25,24,21,18,26,22,18,20,16,18,25,23,15,13,21,15,13,11,13,19,18,13,13,17,16,20,15,11,25,11,14,16,23,17,21,23,11,20,8,35,18,23,10,18,10,18,9,7,15,",,
0,3FTID4TN8L4KEPZU3V0QHQ9R5H6YLZ,3PSRKXHSTQMCNWTOK2P50RUNY7UJH4,Snako Golden Image Study,golden image study for Team Snako's senior design project,"snako, LIVE, golden image study",$0.00,Sun Feb 02 21:35:29 PST 2020,1000,BatchId:266718;OriginalHitTemplateId:921587259;,3600,259200,Sun Feb 16 21:35:29 PST 2020,,,30LSNF239V1VANVBF91J5QCAD3NI2A,A12RCF0U5XWP1U,Submitted,Wed Feb 05 09:53:40 PST 2020,Wed Feb 05 10:07:26 PST 2020,Sat Feb 08 10:07:26 PST 2020,,,,826,100% (3/3),100% (3/3),100% (3/3),1234321,"24,20,22,18,21,23,19,14,12,22,16,12,11,19,19,14,12,17,19,17,17,16,14,16,14,12,12,13,17,10,16,13,13,11,12,14,13,12,14,8,6,15,11,14,16,12,12,19,12,10,14,7,11,9,8,14,9,13,8,19,7,10,12,11,13,",,
0,3JAOYN9IHL82IICH8430VAJXWUL33L,3PSRKXHSTQMCNWTOK2P50RUNY7UJH4,Snako Golden Image Study,golden image study for Team Snako's senior design project,"snako, LIVE, golden image study",$0.00,Sun Feb 02 21:35:41 PST 2020,1000,BatchId:266719;OriginalHitTemplateId:921587259;,3600,259200,Sun Feb 16 21:35:41 PST 2020,,,33JKGHPFYD0DVSAVM7XVP7MP57QMND,A3T4ITPGFCZ6BO,Approved,Tue Feb 04 15:03:20 PST 2020,Tue Feb 04 15:19:18 PST 2020,Fri Feb 07 15:19:18 PST 2020,Fri Feb 07 15:20:07 PST 2020,,,958,100% (5/5),100% (5/5),100% (5/5),1234321,"28,38,41,35,29,32,34,32,21,49,29,28,33,32,22,28,31,31,18,26,21,34,21,29,27,31,30,30,32,30,46,34,33,35,41,34,33,39,29,38,22,38,27,35,33,24,30,35,35,29,29,30,17,22,25,33,28,37,25,35,33,38,19,32,36,",,
0,3Y3N5A7N4GF4K7HF3715H3OG5MWYM1,3PSRKXHSTQMCNWTOK2P50RUNY7UJH4,Snako Golden Image Study,golden image study for Team Snako's senior design project,"snako, LIVE, golden image study",$0.00,Sun Feb 02 21:35:56 PST 2020,1000,BatchId:266720;OriginalHitTemplateId:921587259;,3600,259200,Sun Feb 16 21:35:56 PST 2020,,,35GMH2SV3FNX1PIU6O9PROHLMGXOE0,A12RCF0U5XWP1U,Submitted,Fri Feb 07 08:14:13 PST 2020,Fri Feb 07 08:37:01 PST 2020,Mon Feb 10 08:37:01 PST 2020,,,,1368,100% (3/3),100% (3/3),100% (3/3),5,"32,23,20,16,12,19,16,28,24,35,22,23,19,20,21,15,16,21,28,23,20,30,21,21,23,22,20,26,25,24,20,17,19,21,19,23,13,26,18,19,19,21,18,20,24,13,24,31,21,19,26,22,19,22,20,26,20,30,20,25,16,22,20,11,19,",,
0,306W7JMRYY4TMAM0ZED24APK08Q8B9,3PSRKXHSTQMCNWTOK2P50RUNY7UJH4,Snako Golden Image Study,golden image study for Team Snako's senior design project,"snako, LIVE, golden image study",$0.00,Sun Feb 02 21:36:06 PST 2020,1000,BatchId:266721;OriginalHitTemplateId:921587259;,3600,259200,Sun Feb 16 21:36:06 PST 2020,,,3EKVH9QMEZAE2CFPNV08ETWXLYQ2D3,A2Z59FZ240KWRP,Submitted,Thu Feb 06 11:19:45 PST 2020,Thu Feb 06 11:44:49 PST 2020,Sun Feb 09 11:44:49 PST 2020,,,,1504,100% (2/2),100% (2/2),100% (2/2),1234321,"23,30,28,35,20,30,29,23,43,46,48,46,34,39,27,18,29,27,34,41,40,41,39,33,31,30,36,31,30,31,32,28,32,30,42,35,38,37,27,36,40,33,39,43,40,30,34,35,36,30,32,35,25,36,38,40,21,48,23,43,35,40,39,42,40,",,
1,306W7JMRYY4TMAM0ZED24APK08Q8B9,3PSRKXHSTQMCNWTOK2P50RUNY7UJH4,Snako Golden Image Study,golden image study for Team Snako's senior design project,"snako, LIVE, golden image study",$0.00,Sun Feb 02 21:36:06 PST 2020,1000,BatchId:266721;OriginalHitTemplateId:921587259;,3600,259200,Sun Feb 16 21:36:06 PST 2020,,,3NAPMVF0ZXLYL3EFWIXME1M1ZMV72L,A2GAM45887RMML,Approved,Mon Feb 03 14:09:34 PST 2020,Mon Feb 03 14:22:04 PST 2020,Thu Feb 06 14:22:04 PST 2020,Thu Feb 06 14:22:07 PST 2020,,,750,100% (4/4),100% (3/3),100% (3/3),1234321,"20,31,13,23,15,17,16,21,24,21,18,14,17,15,20,15,11,24,27,24,18,25,26,17,16,19,20,16,20,26,21,15,15,17,15,25,16,15,18,17,15,24,21,21,22,11,16,24,20,23,22,18,23,12,16,17,24,29,25,20,31,22,22,13,19,",,
0,34YWR3PJ28GIHOKY96S50SAU0D20XN,3PSRKXHSTQMCNWTOK2P50RUNY7UJH4,Snako Golden Image Study,golden image study for Team Snako's senior design project,"snako, LIVE, golden image study",$0.00,Sun Feb 02 21:36:58 PST 2020,1000,BatchId:266724;OriginalHitTemplateId:921587259;,3600,259200,Sun Feb 16 21:36:58 PST 2020,,,3ZPPDN2SLW2UU2EO4ZQ7UYMWRGSE9R,A2Z59FZ240KWRP,Submitted,Wed Feb 05 14:36:29 PST 2020,Wed Feb 05 14:56:13 PST 2020,Sat Feb 08 14:56:13 PST 2020,,,,1184,100% (2/2),100% (2/2),100% (2/2),1234321,"34,36,28,38,26,30,27,29,26,36,41,35,28,29,49,50,23,31,27,29,19,26,27,33,21,30,27,37,26,34,31,27,24,36,29,20,21,24,27,33,22,32,27,22,26,47,22,27,29,26,28,26,18,26,20,31,26,37,35,31,20,22,20,22,22,",,
0,3PGQRAZX02Q7I2UKN4XRTCNMXBEYSD,3PSRKXHSTQMCNWTOK2P50RUNY7UJH4,Snako Golden Image Study,golden image study for Team Snako's senior design project,"snako, LIVE, golden image study",$0.00,Sun Feb 02 21:37:33 PST 2020,1000,BatchId:266726;OriginalHitTemplateId:921587259;,3600,259200,Sun Feb 16 21:37:33 PST 2020,,,38F71OA9GU2170XEOJEIH2DG3FVFMO,A25BL39PHUACM7,Approved,Mon Feb 03 16:14:42 PST 2020,Mon Feb 03 16:42:32 PST 2020,Thu Feb 06 16:42:32 PST 2020,Thu Feb 06 16:43:07 PST 2020,,,1670,100% (9/9),100% (8/8),100% (8/8),1234321,"23,39,32,28,19,30,33,31,28,43,40,39,30,30,27,21,28,27,29,39,41,37,29,32,30,31,40,36,30,28,33,26,32,35,33,30,40,41,28,31,25,32,40,35,36,28,28,29,31,18,36,26,25,35,31,33,24,40,20,31,36,38,22,26,23,",,
1,3PGQRAZX02Q7I2UKN4XRTCNMXBEYSD,3PSRKXHSTQMCNWTOK2P50RUNY7UJH4,Snako Golden Image Study,golden image study for Team Snako's senior design project,"snako, LIVE, golden image study",$0.00,Sun Feb 02 21:37:33 PST 2020,1000,BatchId:266726;OriginalHitTemplateId:921587259;,3600,259200,Sun Feb 16 21:37:33 PST 2020,,,39GHHAVOMGX18CU41557A6O8AXV4JT,A2GAM45887RMML,Submitted,Fri Feb 07 12:02:03 PST 2020,Fri Feb 07 12:20:01 PST 2020,Mon Feb 10 12:20:01 PST 2020,,,,1078,100% (4/4),100% (3/3),100% (3/3),5,"32,28,22,25,14,17,13,18,17,28,37,22,26,21,20,19,15,17,16,28,26,31,18,20,17,28,26,27,32,31,32,28,17,20,22,17,17,17,18,28,16,19,23,18,30,27,23,25,18,14,32,18,26,23,14,29,22,46,26,19,29,20,22,19,15,",,
0,3UUIU9GZC5BAVEXF12XKSKLF4PP5TU,3PSRKXHSTQMCNWTOK2P50RUNY7UJH4,Snako Golden Image Study,golden image study for Team Snako's senior design project,"snako, LIVE, golden image study",$0.00,Sun Feb 02 21:37:47 PST 2020,1000,BatchId:266727;OriginalHitTemplateId:921587259;,3600,259200,Sun Feb 16 21:37:47 PST 2020,,,3AMYWKA6YCSTOAPF06QRF0P85HPO6T,A12RCF0U5XWP1U,Submitted,Wed Feb 05 13:08:28 PST 2020,Wed Feb 05 13:26:41 PST 2020,Sat Feb 08 13:26:41 PST 2020,,,,1093,100% (3/3),100% (3/3),100% (3/3),1234321,"20,27,25,31,17,22,26,25,24,32,28,26,27,22,21,23,15,15,20,22,18,26,19,20,22,21,24,21,19,17,14,16,13,11,22,18,19,24,15,19,13,23,16,18,26,14,20,22,14,14,21,17,11,14,11,15,11,19,8,15,16,15,14,14,18,",,
0,3WGZLY9VCHSM17KKDA48Z0DK3T28DG,3PSRKXHSTQMCNWTOK2P50RUNY7UJH4,Snako Golden Image Study,golden image study for Team Snako's senior design project,"snako, LIVE, golden image study",$0.00,Sun Feb 02 21:37:56 PST 2020,1000,BatchId:266728;OriginalHitTemplateId:921587259;,3600,259200,Sun Feb 16 21:37:56 PST 2020,,,3PJUZCGDJ7MDL14XRW472OQAGD389V,A25BL39PHUACM7,Submitted,Thu Feb 06 13:09:35 PST 2020,Thu Feb 06 13:30:56 PST 2020,Sun Feb 09 13:30:56 PST 2020,,,,1281,100% (9/9),100% (8/8),100% (8/8),1234321,"23,13,17,15,15,16,11,12,19,22,28,13,10,16,17,25,16,25,11,14,22,20,20,18,15,20,12,21,25,22,20,19,12,19,20,16,24,17,21,27,19,21,16,21,23,15,27,26,17,18,31,26,30,25,23,29,20,19,15,23,27,24,24,21,24,",,
